height,num_entities,memory
16,10000,15.15 MB
16,20000,20.04 MB
16,30000,43.53 MB
16,10000,21.09 MB
16,20000,22.18 MB
16,30000,43.51 MB
16,10000,21.16 MB
16,20000,21.89 MB
16,30000,43.42 MB
16,10000,21.06 MB
16,20000,22.38 MB
16,30000,43.56 MB
32,10000,160.95 MB
32,20000,321.88 MB
32,30000,643.44 MB
32,40000,643.75 MB
32,50000,644.06 MB
32,60000,646.87 MB
32,70000,1.26 GB
32,80000,1.26 GB
32,90000,1.26 GB
32,100000,1.26 GB
32,200000,2.52 GB
32,300000,5.03 GB
32,400000,5.03 GB
32,500000,5.05 GB
32,600000,5.06 GB
32,700000,10.06 GB
32,800000,10.06 GB
32,900000,10.07 GB
32,1000000,10.11 GB
32,2000000,20.22 GB
32,3000000,20.25 GB
32,4000000,40.43 GB
32,5000000,40.46 GB
32,6000000,40.49 GB
32,7000000,40.52 GB
32,8000000,80.86 GB
32,9000000,80.89 GB
32,10000000,80.92 GB
32,10000,160.95 MB
32,20000,321.89 MB
32,30000,643.44 MB
32,40000,643.74 MB
32,50000,644.04 MB
32,60000,646.86 MB
32,70000,1.26 GB
32,80000,1.26 GB
32,90000,1.26 GB
32,100000,1.26 GB
32,200000,2.52 GB
32,300000,5.03 GB
32,400000,5.03 GB
32,500000,5.05 GB
32,600000,5.06 GB
32,700000,10.06 GB
32,800000,10.06 GB
32,900000,10.07 GB
32,1000000,10.11 GB
32,2000000,20.22 GB
32,3000000,20.25 GB
32,4000000,40.43 GB
32,5000000,40.46 GB
32,6000000,40.49 GB
32,7000000,40.52 GB
32,8000000,80.86 GB
32,9000000,80.89 GB
32,10000000,80.92 GB
32,10000,161.01 MB
32,20000,321.87 MB
32,30000,643.48 MB
32,40000,643.73 MB
32,50000,644.06 MB
32,60000,646.86 MB
32,70000,1.26 GB
32,80000,1.26 GB
32,90000,1.26 GB
32,100000,1.26 GB
32,200000,2.52 GB
32,300000,5.03 GB
32,400000,5.03 GB
32,500000,5.05 GB
32,600000,5.06 GB
32,700000,10.06 GB
32,800000,10.06 GB
32,900000,10.07 GB
32,1000000,10.11 GB
32,2000000,20.22 GB
32,3000000,20.25 GB
32,4000000,40.43 GB
32,5000000,40.46 GB
32,6000000,40.49 GB
32,7000000,40.52 GB
32,8000000,80.86 GB
32,9000000,80.89 GB
32,10000000,80.92 GB
32,10000,160.97 MB
32,20000,321.86 MB
32,30000,643.45 MB
32,40000,643.75 MB
32,50000,644.07 MB
32,60000,646.86 MB
32,70000,1.26 GB
32,80000,1.26 GB
32,90000,1.26 GB
32,100000,1.26 GB
32,200000,2.52 GB
32,300000,5.03 GB
32,400000,5.03 GB
32,500000,5.05 GB
32,600000,5.06 GB
32,700000,10.06 GB
32,800000,10.06 GB
32,900000,10.07 GB
32,1000000,10.11 GB
32,2000000,20.22 GB
32,3000000,20.25 GB
32,4000000,40.43 GB
32,5000000,40.46 GB
32,6000000,40.49 GB
32,7000000,40.52 GB
32,8000000,80.86 GB
32,9000000,80.89 GB
32,10000000,80.92 GB
64,10000,640.94 MB
64,20000,1.25 GB
64,30000,1.25 GB
64,40000,2.50 GB
64,50000,2.50 GB
64,60000,2.51 GB
64,70000,2.51 GB
64,80000,5.01 GB
64,90000,5.01 GB
64,100000,5.01 GB
64,200000,10.02 GB
64,300000,10.03 GB
64,400000,20.03 GB
64,500000,20.05 GB
64,600000,20.06 GB
64,700000,40.06 GB
64,800000,40.06 GB
64,900000,40.07 GB
64,1000000,40.11 GB
64,2000000,80.22 GB
